,point,crowded_ratio,number_of_people,timestamp,location_group,timezone
4278,POINT (14.0674284 100.6047005),5,250,2020-08-27 08:26:50.639000+00:00,office,Asia/Bangkok
4279,POINT (14.0712244 100.6023752),5,250,2020-08-27 09:02:31.863000+00:00,shop,Asia/Bangkok
4280,POINT (14.0712443 100.6025153),5,250,2020-08-27 09:03:42.479000+00:00,office,Asia/Bangkok
4281,POINT (14.0735151 100.6011989),2,59,2020-08-27 09:12:43.188000+00:00,playground,Asia/Bangkok
4282,POINT (14.0737459 100.6012699),2,3,2020-08-27 09:13:49.004000+00:00,shop,Asia/Bangkok
4284,POINT (14.0711457 100.6021739),4,250,2020-08-27 10:01:54.430000+00:00,office,Asia/Bangkok
4285,POINT (14.073541 100.6012009),4,66,2020-08-27 10:07:42.462000+00:00,playground,Asia/Bangkok
4286,POINT (14.0738678 100.6012926),2,3,2020-08-27 10:09:03.561000+00:00,shop,Asia/Bangkok
4287,POINT (14.0712521 100.6025246),3,250,2020-08-27 10:59:37.130000+00:00,office,Asia/Bangkok
4288,POINT (14.0711772 100.6023731),2,6,2020-08-27 11:06:12.008000+00:00,shop,Asia/Bangkok
4289,POINT (14.0737726 100.6012757),2,5,2020-08-27 12:10:35.584000+00:00,shop,Asia/Bangkok
4290,POINT (14.0712171 100.6024846),3,230,2020-08-27 12:11:56.231000+00:00,office,Asia/Bangkok
4291,POINT (14.0711762 100.6023433),3,140,2020-08-27 13:06:01.165000+00:00,office,Asia/Bangkok
4292,POINT (14.0737487 100.6012336),3,9,2020-08-27 13:13:42.014000+00:00,shop,Asia/Bangkok
4294,POINT (14.0711583 100.6022292),2,42,2020-08-27 13:50:26.233000+00:00,office,Asia/Bangkok
4295,POINT (14.0711579 100.6022159),2,2,2020-08-27 13:55:05.713000+00:00,shop,Asia/Bangkok
4296,POINT (14.0737902 100.6012819),2,6,2020-08-27 23:59:04.303000+00:00,shop,Asia/Bangkok
4297,POINT (14.0734547 100.6011239),2,15,2020-08-28 00:01:26.100000+00:00,shop,Asia/Bangkok
4322,POINT (13.9921483 100.616935),2,2,2020-09-02 01:48:36.245000+00:00,shop,Asia/Bangkok
4323,POINT (13.9907547 100.623717),2,3,2020-09-02 02:08:18.695000+00:00,shop,Asia/Bangkok
4324,POINT (13.9907547 100.623717),2,42,2020-09-02 02:56:51.466000+00:00,shop,Asia/Bangkok
4325,POINT (13.992179 100.6169185),2,33,2020-09-02 03:15:47.075000+00:00,shop,Asia/Bangkok
4326,POINT (13.9920705 100.6170794),2,54,2020-09-02 04:00:02.857000+00:00,shop,Asia/Bangkok
4327,POINT (13.9918183 100.6178634),2,4,2020-09-02 04:02:05.657000+00:00,shop,Asia/Bangkok
4328,POINT (13.9906531 100.6182297),2,72,2020-09-02 04:14:36.114000+00:00,shop,Asia/Bangkok
4329,POINT (13.9904464 100.6169758),2,48,2020-09-02 04:26:19.837000+00:00,shop,Asia/Bangkok
4330,POINT (13.9904201 100.6168628),2,44,2020-09-02 04:57:33.023000+00:00,shop,Asia/Bangkok
4331,POINT (13.9908455 100.6181744),2,94,2020-09-02 05:08:00.604000+00:00,shop,Asia/Bangkok
4332,POINT (13.9919703 100.6180487),2,5,2020-09-02 05:13:51.878000+00:00,shop,Asia/Bangkok
4333,POINT (13.9921347 100.6169702),2,48,2020-09-02 05:29:03.834000+00:00,shop,Asia/Bangkok
4334,POINT (13.9921571 100.6169533),2,51,2020-09-02 05:52:27.675000+00:00,shop,Asia/Bangkok
4335,POINT (13.9918502 100.6175911),2,2,2020-09-02 05:54:50.052000+00:00,shop,Asia/Bangkok
4336,POINT (13.9902037 100.6186329),2,114,2020-09-02 06:00:43.774000+00:00,shop,Asia/Bangkok
4337,POINT (13.9897862 100.6170887),2,61,2020-09-02 06:07:22.002000+00:00,shop,Asia/Bangkok
4338,POINT (13.9896385 100.6167206),2,79,2020-09-02 07:04:05.716000+00:00,shop,Asia/Bangkok
4339,POINT (13.990794 100.6181547),3,142,2020-09-02 07:11:35.760000+00:00,shop,Asia/Bangkok
4340,POINT (13.9917533 100.617675),3,7,2020-09-02 07:14:19.958000+00:00,shop,Asia/Bangkok
4341,POINT (13.9920864 100.6170923),2,73,2020-09-02 07:17:35.115000+00:00,shop,Asia/Bangkok
4342,POINT (13.9920798 100.6170782),3,108,2020-09-02 07:47:10.822000+00:00,shop,Asia/Bangkok
4343,POINT (13.9917983 100.6178783),2,13,2020-09-02 07:49:16.950000+00:00,shop,Asia/Bangkok
4344,POINT (13.9901337 100.6186035),2,112,2020-09-02 07:53:40.915000+00:00,shop,Asia/Bangkok
4345,POINT (13.9896332 100.6167249),3,121,2020-09-02 08:03:58.926000+00:00,shop,Asia/Bangkok
4346,POINT (13.9921471 100.6169973),2,60,2020-09-02 08:47:41.347000+00:00,shop,Asia/Bangkok
4347,POINT (13.9919794 100.6181068),2,8,2020-09-02 08:55:14.735000+00:00,shop,Asia/Bangkok
4348,POINT (13.9901048 100.6186124),2,65,2020-09-02 09:10:17.405000+00:00,shop,Asia/Bangkok
4349,POINT (13.9903897 100.6164329),2,85,2020-09-02 09:15:50.069000+00:00,shop,Asia/Bangkok
4350,POINT (13.9896026 100.6167202),2,70,2020-09-02 09:45:57.854000+00:00,shop,Asia/Bangkok
4351,POINT (13.9908049 100.618117),3,140,2020-09-02 09:53:52.252000+00:00,shop,Asia/Bangkok
4352,POINT (13.9919012 100.6179407),2,6,2020-09-02 09:57:57.699000+00:00,shop,Asia/Bangkok
4353,POINT (13.9920858 100.6165435),3,73,2020-09-02 10:03:47.965000+00:00,shop,Asia/Bangkok
4354,POINT (13.9920416 100.6171091),2,38,2020-09-02 10:54:27.011000+00:00,shop,Asia/Bangkok
4355,POINT (13.9910358 100.6176925),2,8,2020-09-02 10:57:41.118000+00:00,shop,Asia/Bangkok
4356,POINT (13.9900293 100.6186414),3,140,2020-09-02 11:03:42.586000+00:00,shop,Asia/Bangkok
4357,POINT (13.9900343 100.6166181),3,89,2020-09-02 11:11:31.784000+00:00,shop,Asia/Bangkok
4358,POINT (13.9895758 100.6168512),2,70,2020-09-02 11:46:11.057000+00:00,shop,Asia/Bangkok
4359,POINT (13.9908349 100.6180946),4,150,2020-09-02 11:55:39.472000+00:00,shop,Asia/Bangkok
4360,POINT (13.9919924 100.6182074),2,1,2020-09-02 11:59:14.035000+00:00,shop,Asia/Bangkok
4361,POINT (13.9921217 100.6165525),2,65,2020-09-02 12:03:47.155000+00:00,shop,Asia/Bangkok
4362,POINT (13.9920746 100.6171218),2,25,2020-09-02 12:46:38.918000+00:00,shop,Asia/Bangkok
4363,POINT (13.9904574 100.6174133),2,4,2020-09-02 12:49:06.962000+00:00,shop,Asia/Bangkok
4364,POINT (13.9901126 100.6186479),2,100,2020-09-02 12:54:26.845000+00:00,shop,Asia/Bangkok
4365,POINT (13.9902738 100.6166426),2,30,2020-09-02 12:59:43.132000+00:00,shop,Asia/Bangkok
4366,POINT (13.9897556 100.6167102),2,15,2020-09-02 13:27:48.112000+00:00,shop,Asia/Bangkok
4367,POINT (13.9908678 100.6181127),2,67,2020-09-02 13:34:05.189000+00:00,shop,Asia/Bangkok
4368,POINT (13.992062 100.6172514),2,7,2020-09-02 13:47:42.779000+00:00,shop,Asia/Bangkok
